experimentType,size,finalStates,instance,bfsResult,bfsTime,randomTime,fallback,finalStatesRandomized
RandomGraph,10,5,7,true,1375,1166,false,false
RandomGraph,10,6,7,true,2416,11250,false,false
RandomGraph,10,7,7,true,1084,10583,false,false
RandomGraph,10,8,7,true,667,709,false,false
RandomGraph,10,9,7,true,833,542,false,false
RandomGraph,10,0,8,false,1667,99167,true,false
RandomGraph,10,1,8,true,1583,958,false,false
RandomGraph,10,2,8,true,2292,875,false,false
RandomGraph,10,3,8,true,1542,666,false,false
RandomGraph,10,4,8,true,1416,542,false,false
RandomGraph,10,5,8,true,1583,875,false,false
RandomGraph,10,6,8,true,1083,625,false,false
RandomGraph,10,7,8,true,4042,584,false,false
RandomGraph,10,8,8,true,8167,625,false,false
RandomGraph,10,9,8,true,666,500,false,false
RandomGraph,10,0,9,false,917,91167,true,false
RandomGraph,10,1,9,true,1000,1250,false,false
RandomGraph,10,2,9,true,958,31792,false,false
RandomGraph,10,3,9,true,750,1375,false,false
RandomGraph,10,4,9,true,708,1083,false,false
RandomGraph,10,5,9,true,833,750,false,false
RandomGraph,10,6,9,true,834,500,false,false
RandomGraph,10,7,9,true,541,542,false,false
RandomGraph,10,8,9,true,584,500,false,false
RandomGraph,10,9,9,true,458,583,false,false
RandomGraph,10,0,10,false,708,88667,true,false
RandomGraph,10,1,10,true,2125,5000,false,false
RandomGraph,10,2,10,true,1125,2250,false,false
RandomGraph,10,3,10,true,875,1250,false,false
RandomGraph,10,4,10,true,959,1375,false,false
RandomGraph,10,5,10,true,833,1167,false,false
RandomGraph,10,6,10,true,708,1291,false,false
RandomGraph,10,7,10,true,708,1083,false,false
RandomGraph,10,8,10,true,2417,2208,false,false
RandomGraph,10,9,10,true,750,834,false,false
RandomGraph,10,0,11,false,1167,106417,true,false
RandomGraph,10,1,11,true,1292,1833,false,false
RandomGraph,10,2,11,true,1083,1750,false,false
RandomGraph,10,3,11,true,875,1375,false,false
RandomGraph,10,4,11,true,917,666,false,false
RandomGraph,10,5,11,true,875,583,false,false
RandomGraph,10,6,11,true,959,708,false,false
RandomGraph,10,7,11,true,583,708,false,false
RandomGraph,10,8,11,true,625,583,false,false
RandomGraph,10,9,11,true,666,542,false,false
RandomGraph,10,0,12,false,1250,95417,true,false
RandomGraph,10,1,12,true,1000,833,false,false
RandomGraph,10,2,12,true,916,917,false,false
RandomGraph,10,3,12,true,875,916,false,false
RandomGraph,10,4,12,true,709,792,false,false
RandomGraph,10,5,12,true,3333,2500,false,false
RandomGraph,10,6,12,true,4208,2667,false,false
RandomGraph,10,7,12,true,1666,1167,false,false
RandomGraph,10,8,12,true,2000,542,false,false
RandomGraph,10,9,12,true,2916,2208,false,false
RandomGraph,10,0,13,false,2125,70541,true,false
RandomGraph,10,1,13,true,1416,2625,false,false
RandomGraph,10,2,13,true,1084,834,false,false
RandomGraph,10,3,13,true,1000,875,false,false
RandomGraph,10,4,13,true,917,708,false,false
RandomGraph,10,5,13,true,1292,750,false,false
RandomGraph,10,6,13,true,542,375,false,false
RandomGraph,10,7,13,true,542,417,false,false
RandomGraph,10,8,13,true,500,541,false,false
RandomGraph,10,9,13,true,708,459,false,false
RandomGraph,10,0,14,false,750,53875,true,false
RandomGraph,10,1,14,true,917,541,false,false
RandomGraph,10,2,14,true,834,500,false,false
RandomGraph,10,3,14,true,500,458,false,false
RandomGraph,10,4,14,true,667,583,false,false
RandomGraph,10,5,14,true,583,416,false,false
RandomGraph,10,6,14,true,542,375,false,false
RandomGraph,10,7,14,true,458,458,false,false
RandomGraph,10,8,14,true,500,375,false,false
RandomGraph,10,9,14,true,500,375,false,false
RandomGraph,10,0,15,false,791,53875,true,false
RandomGraph,10,1,15,true,750,1250,false,false
RandomGraph,10,2,15,true,542,750,false,false
RandomGraph,10,3,15,true,625,875,false,false
RandomGraph,10,4,15,true,583,500,false,false
RandomGraph,10,5,15,true,458,416,false,false
RandomGraph,10,6,15,true,500,375,false,false
RandomGraph,10,7,15,true,500,416,false,false
RandomGraph,10,8,15,true,1750,1083,false,false
RandomGraph,10,9,15,true,1000,500,false,false
RandomGraph,10,0,16,false,1459,69917,true,false
RandomGraph,10,1,16,true,1459,1833,false,false
RandomGraph,10,2,16,true,1125,21291,false,false
RandomGraph,10,3,16,true,1042,875,false,false
RandomGraph,10,4,16,true,1167,500,false,false
RandomGraph,10,5,16,true,1417,708,false,false
RandomGraph,10,6,16,true,916,541,false,false
RandomGraph,10,7,16,true,917,542,false,false
RandomGraph,10,8,16,true,583,458,false,false
RandomGraph,10,9,16,true,708,458,false,false
RandomGraph,10,0,17,false,1166,69541,true,false
RandomGraph,10,1,17,true,1292,958,false,false
RandomGraph,10,2,17,true,1042,875,false,false
RandomGraph,10,3,17,true,1000,875,false,false
RandomGraph,10,4,17,true,792,667,false,false
RandomGraph,10,5,17,true,834,583,false,false
RandomGraph,10,6,17,true,708,542,false,false
RandomGraph,10,7,17,true,792,625,false,false
RandomGraph,10,8,17,true,542,459,false,false
RandomGraph,10,9,17,true,542,500,false,false
RandomGraph,10,0,18,false,1250,65167,true,false
RandomGraph,10,1,18,true,1333,1083,false,false
RandomGraph,10,2,18,true,750,500,false,false
RandomGraph,10,3,18,true,833,375,false,false
RandomGraph,10,4,18,true,666,375,false,false
RandomGraph,10,5,18,true,834,459,false,false
RandomGraph,10,6,18,true,833,375,false,false
RandomGraph,10,7,18,true,875,458,false,false
RandomGraph,10,8,18,true,750,417,false,false
RandomGraph,10,9,18,true,750,500,false,false
RandomGraph,10,0,19,false,1250,65959,true,false
RandomGraph,10,1,19,true,917,458,false,false
RandomGraph,10,2,19,true,1000,500,false,false
RandomGraph,10,3,19,true,792,500,false,false
RandomGraph,10,4,19,true,667,833,false,false
RandomGraph,10,5,19,true,791,542,false,false
RandomGraph,10,6,19,true,875,458,false,false
RandomGraph,10,7,19,true,667,2917,false,false
RandomGraph,10,8,19,true,1917,1083,false,false
RandomGraph,10,9,19,true,1167,625,false,false
RandomGraph,10,0,20,false,1209,55126,true,false
RandomGraph,10,1,20,true,917,2084,false,false
RandomGraph,10,2,20,true,1083,1792,false,false
RandomGraph,10,3,20,true,667,500,false,false
RandomGraph,10,4,20,true,1209,458,false,false
RandomGraph,10,5,20,true,708,375,false,false
RandomGraph,10,6,20,true,625,375,false,false
RandomGraph,10,7,20,true,709,375,false,false
RandomGraph,10,8,20,true,500,458,false,false
RandomGraph,10,9,20,true,458,333,false,false
RandomGraph,10,0,21,false,1083,51999,true,false
RandomGraph,10,1,21,true,792,833,false,false
RandomGraph,10,2,21,true,583,458,false,false
RandomGraph,10,3,21,true,709,417,false,false
RandomGraph,10,4,21,true,709,416,false,false
RandomGraph,10,5,21,true,625,417,false,false
RandomGraph,10,6,21,true,750,708,false,false
RandomGraph,10,7,21,true,541,417,false,false
RandomGraph,10,8,21,true,500,458,false,false
RandomGraph,10,9,21,true,1250,791,false,false
RandomGraph,10,0,22,false,1209,69459,true,false
RandomGraph,10,1,22,true,1041,2000,false,false
RandomGraph,10,2,22,true,1500,1584,false,false
RandomGraph,10,3,22,true,792,917,false,false
RandomGraph,10,4,22,true,625,667,false,false
RandomGraph,10,5,22,true,667,333,false,false
RandomGraph,10,6,22,true,584,291,false,false
RandomGraph,10,7,22,true,667,459,false,false
RandomGraph,10,8,22,true,583,458,false,false
RandomGraph,10,9,22,true,584,375,false,false
RandomGraph,10,0,23,false,792,49833,true,false
RandomGraph,10,1,23,true,875,875,false,false
RandomGraph,10,2,23,true,542,333,false,false
RandomGraph,10,3,23,true,500,333,false,false
RandomGraph,10,4,23,true,500,333,false,false
RandomGraph,10,5,23,true,542,333,false,false
RandomGraph,10,6,23,true,750,334,false,false
RandomGraph,10,7,23,true,541,541,false,false
RandomGraph,10,8,23,true,583,333,false,false
RandomGraph,10,9,23,true,709,333,false,false
RandomGraph,10,0,24,false,792,52334,true,false
RandomGraph,10,1,24,true,792,750,false,false
RandomGraph,10,2,24,true,625,20541,false,false
RandomGraph,10,3,24,true,958,875,false,false
RandomGraph,10,4,24,true,792,708,false,false
RandomGraph,10,5,24,true,791,834,false,false
RandomGraph,10,6,24,true,1208,1167,false,false
RandomGraph,10,7,24,true,875,792,false,false
RandomGraph,10,8,24,true,750,500,false,false
RandomGraph,10,9,24,true,542,500,false,false
RandomGraph,10,0,25,false,1167,65584,true,false
RandomGraph,10,1,25,true,1083,708,false,false
RandomGraph,10,2,25,true,1208,625,false,false
RandomGraph,10,3,25,true,834,750,false,false
RandomGraph,10,4,25,true,709,667,false,false
RandomGraph,10,5,25,true,584,542,false,false
RandomGraph,10,6,25,true,916,625,false,false
RandomGraph,10,7,25,true,708,542,false,false
RandomGraph,10,8,25,true,667,584,false,false
RandomGraph,10,9,25,true,542,375,false,false
RandomGraph,10,0,26,false,1166,76832,true,false
RandomGraph,10,1,26,true,1208,2625,false,false
RandomGraph,10,2,26,true,2458,2208,false,false
RandomGraph,10,3,26,true,1292,917,false,false
RandomGraph,10,4,26,true,1042,584,false,false
RandomGraph,10,5,26,true,959,583,false,false
RandomGraph,10,6,26,true,583,458,false,false
RandomGraph,10,7,26,true,917,583,false,false
RandomGraph,10,8,26,true,458,417,false,false
RandomGraph,10,9,26,true,583,416,false,false
RandomGraph,10,0,27,false,2250,74709,true,false
RandomGraph,10,1,27,true,4125,875,false,false
RandomGraph,10,2,27,true,1209,708,false,false
RandomGraph,10,3,27,true,875,709,false,false
RandomGraph,10,4,27,true,792,625,false,false
RandomGraph,10,5,27,true,750,584,false,false
RandomGraph,10,6,27,true,833,542,false,false
RandomGraph,10,7,27,true,584,500,false,false
RandomGraph,10,8,27,true,458,458,false,false
RandomGraph,10,9,27,true,459,458,false,false
RandomGraph,10,0,28,false,1041,71083,true,false
RandomGraph,10,1,28,true,1542,625,false,false
RandomGraph,10,2,28,true,1250,542,false,false
RandomGraph,10,3,28,true,875,458,false,false
RandomGraph,10,4,28,true,875,500,false,false
RandomGraph,10,5,28,true,667,500,false,false
RandomGraph,10,6,28,true,625,500,false,false
RandomGraph,10,7,28,true,709,584,false,false
RandomGraph,10,8,28,true,667,500,false,false
RandomGraph,10,9,28,true,750,375,false,false
RandomGraph,10,0,29,false,2333,67874,true,false
RandomGraph,10,1,29,true,792,708,false,false
RandomGraph,10,2,29,true,625,708,false,false
RandomGraph,10,3,29,true,625,584,false,false
RandomGraph,10,4,29,true,583,375,false,false
RandomGraph,10,5,29,true,667,417,false,false
RandomGraph,10,6,29,true,542,375,false,false
RandomGraph,10,7,29,true,792,417,false,false
RandomGraph,10,8,29,true,458,375,false,false
RandomGraph,10,9,29,true,459,375,false,false
RandomGraph,10,0,30,false,1208,65875,true,false
RandomGraph,10,1,30,true,2167,1083,false,false
RandomGraph,10,2,30,true,1167,625,false,false
RandomGraph,10,3,30,true,542,542,false,false
RandomGraph,10,4,30,true,584,500,false,false
RandomGraph,10,5,30,true,500,417,false,false
RandomGraph,10,6,30,true,500,416,false,false
RandomGraph,10,7,30,true,583,458,false,false
RandomGraph,10,8,30,true,459,458,false,false
RandomGraph,10,9,30,true,584,375,false,false
RandomGraph,10,0,31,false,750,45209,true,false
RandomGraph,10,1,31,true,875,416,false,false
RandomGraph,10,2,31,true,584,458,false,false
RandomGraph,10,3,31,true,666,458,false,false
RandomGraph,10,4,31,true,500,375,false,false
RandomGraph,10,5,31,true,625,416,false,false
RandomGraph,10,6,31,true,583,417,false,false
RandomGraph,10,7,31,true,500,375,false,false
RandomGraph,10,8,31,true,500,334,false,false
RandomGraph,10,9,31,true,1042,625,false,false
RandomGraph,10,0,32,false,1250,53625,true,false
RandomGraph,10,1,32,true,709,417,false,false
RandomGraph,10,2,32,true,875,333,false,false
RandomGraph,10,3,32,true,1583,666,false,false
RandomGraph,10,4,32,true,958,500,false,false
RandomGraph,10,5,32,true,875,709,false,false
RandomGraph,10,6,32,true,750,500,false,false
RandomGraph,10,7,32,true,542,333,false,false
RandomGraph,10,8,32,true,458,334,false,false
RandomGraph,10,9,32,true,1167,417,false,false
RandomGraph,10,0,33,false,2459,74376,true,false
RandomGraph,10,1,33,true,2250,959,false,false
RandomGraph,10,2,33,true,917,541,false,false
RandomGraph,10,3,33,true,667,500,false,false
RandomGraph,10,4,33,true,625,417,false,false
RandomGraph,10,5,33,true,1292,708,false,false
RandomGraph,10,6,33,true,833,500,false,false
RandomGraph,10,7,33,true,625,459,false,false
RandomGraph,10,8,33,true,541,417,false,false
RandomGraph,10,9,33,true,541,416,false,false
RandomGraph,10,0,34,false,1000,67958,true,false
RandomGraph,10,1,34,true,1042,667,false,false
RandomGraph,10,2,34,true,875,416,false,false
RandomGraph,10,3,34,true,792,375,false,false
RandomGraph,10,4,34,true,542,333,false,false
RandomGraph,10,5,34,true,708,334,false,false
RandomGraph,10,6,34,true,500,334,false,false
RandomGraph,10,7,34,true,625,459,false,false
RandomGraph,10,8,34,true,500,417,false,false
RandomGraph,10,9,34,true,1667,958,false,false
RandomGraph,10,0,35,false,1333,49916,true,false
RandomGraph,10,1,35,true,1084,1083,false,false
RandomGraph,10,2,35,true,1417,1208,false,false
RandomGraph,10,3,35,true,1083,1125,false,false
RandomGraph,10,4,35,true,666,958,false,false
RandomGraph,10,5,35,true,625,1000,false,false
RandomGraph,10,6,35,true,2500,792,false,false
RandomGraph,10,7,35,true,1708,625,false,false
RandomGraph,10,8,35,true,708,459,false,false
RandomGraph,10,9,35,true,541,375,false,false
RandomGraph,10,0,36,false,1000,70334,true,false
RandomGraph,10,1,36,true,1000,1334,false,false
RandomGraph,10,2,36,true,709,416,false,false
RandomGraph,10,3,36,true,667,375,false,false
RandomGraph,10,4,36,true,708,375,false,false
RandomGraph,10,5,36,true,583,333,false,false
RandomGraph,10,6,36,true,584,333,false,false
RandomGraph,10,7,36,true,750,333,false,false
RandomGraph,10,8,36,true,625,333,false,false
RandomGraph,10,9,36,true,667,375,false,false
RandomGraph,10,0,37,false,1125,72417,true,false
RandomGraph,10,1,37,true,1166,2458,false,false
RandomGraph,10,2,37,true,1334,3333,false,false
RandomGraph,10,3,37,true,1459,917,false,false
RandomGraph,10,4,37,true,1666,959,false,false
RandomGraph,10,5,37,true,2000,1167,false,false
RandomGraph,10,6,37,true,1833,833,false,false
RandomGraph,10,7,37,true,875,542,false,false
RandomGraph,10,8,37,true,583,416,false,false
RandomGraph,10,9,37,true,1250,834,false,false
RandomGraph,10,0,38,false,1375,582875,true,false
RandomGraph,10,1,38,true,1209,583,false,false
RandomGraph,10,2,38,true,916,709,false,false
RandomGraph,10,3,38,true,1334,583,false,false
RandomGraph,10,4,38,true,1208,625,false,false
RandomGraph,10,5,38,true,1667,1000,false,false
RandomGraph,10,6,38,true,875,458,false,false
RandomGraph,10,7,38,true,541,416,false,false
RandomGraph,10,8,38,true,500,500,false,false
RandomGraph,10,9,38,true,417,458,false,false
RandomGraph,10,0,39,false,1208,66208,true,false
RandomGraph,10,1,39,true,1250,792,false,false
RandomGraph,10,2,39,true,916,500,false,false
RandomGraph,10,3,39,true,792,541,false,false
RandomGraph,10,4,39,true,1000,833,false,false
RandomGraph,10,5,39,true,917,708,false,false
RandomGraph,10,6,39,true,916,584,false,false
RandomGraph,10,7,39,true,625,625,false,false
RandomGraph,10,8,39,true,792,375,false,false
RandomGraph,10,9,39,true,459,375,false,false
RandomGraph,10,0,40,false,1042,73208,true,false
RandomGraph,10,1,40,true,1458,709,false,false
RandomGraph,10,2,40,true,833,417,false,false
RandomGraph,10,3,40,true,1375,750,false,false
RandomGraph,10,4,40,true,1000,500,false,false
RandomGraph,10,5,40,true,1000,500,false,false
RandomGraph,10,6,40,true,958,583,false,false
RandomGraph,10,7,40,true,625,541,false,false
RandomGraph,10,8,40,true,583,417,false,false
RandomGraph,10,9,40,true,458,1291,false,false
RandomGraph,10,0,41,false,1250,60833,true,false
RandomGraph,10,1,41,true,917,1791,false,false
RandomGraph,10,2,41,true,666,3333,false,false
RandomGraph,10,3,41,true,1417,708,false,false
RandomGraph,10,4,41,true,708,583,false,false
RandomGraph,10,5,41,true,667,584,false,false
RandomGraph,10,6,41,true,583,333,false,false
RandomGraph,10,7,41,true,541,333,false,false
RandomGraph,10,8,41,true,416,375,false,false
RandomGraph,10,9,41,true,959,625,false,false
RandomGraph,10,0,42,false,1125,61750,true,false
RandomGraph,10,1,42,true,1042,875,false,false
RandomGraph,10,2,42,true,708,666,false,false
RandomGraph,10,3,42,true,625,667,false,false
RandomGraph,10,4,42,true,625,666,false,false
RandomGraph,10,5,42,true,1416,833,false,false
RandomGraph,10,6,42,true,792,458,false,false
RandomGraph,10,7,42,true,583,375,false,false
RandomGraph,10,8,42,true,625,375,false,false
RandomGraph,10,9,42,true,708,292,false,false
RandomGraph,10,0,43,false,1000,52292,true,false
RandomGraph,10,1,43,true,1042,709,false,false
RandomGraph,10,2,43,true,916,542,false,false
RandomGraph,10,3,43,true,708,584,false,false
RandomGraph,10,4,43,true,791,416,false,false
RandomGraph,10,5,43,true,1125,750,false,false
RandomGraph,10,6,43,true,750,458,false,false
RandomGraph,10,7,43,true,667,625,false,false
RandomGraph,10,8,43,true,584,458,false,false
RandomGraph,10,9,43,true,542,458,false,false
RandomGraph,10,0,44,false,959,69043,true,false
RandomGraph,10,1,44,true,1125,1917,false,false
RandomGraph,10,2,44,true,917,958,false,false
RandomGraph,10,3,44,true,1042,917,false,false
RandomGraph,10,4,44,true,667,583,false,false
RandomGraph,10,5,44,true,750,792,false,false
RandomGraph,10,6,44,true,625,583,false,false
RandomGraph,10,7,44,true,708,541,false,false
RandomGraph,10,8,44,true,500,583,false,false
RandomGraph,10,9,44,true,500,417,false,false
RandomGraph,10,0,45,false,1209,66292,true,false
RandomGraph,10,1,45,true,875,1166,false,false
RandomGraph,10,2,45,true,917,1250,false,false
RandomGraph,10,3,45,true,833,1041,false,false
RandomGraph,10,4,45,true,834,542,false,false
RandomGraph,10,5,45,true,792,417,false,false
RandomGraph,10,6,45,true,708,417,false,false
RandomGraph,10,7,45,true,541,417,false,false
RandomGraph,10,8,45,true,833,625,false,false
RandomGraph,10,9,45,true,583,583,false,false
RandomGraph,10,0,46,false,959,69917,true,false
RandomGraph,10,1,46,true,1083,4625,false,false
RandomGraph,10,2,46,true,792,541,false,false
RandomGraph,10,3,46,true,583,375,false,false
RandomGraph,10,4,46,true,500,375,false,false
RandomGraph,10,5,46,true,542,375,false,false
RandomGraph,10,6,46,true,667,458,false,false
RandomGraph,10,7,46,true,583,416,false,false
RandomGraph,10,8,46,true,542,334,false,false
RandomGraph,10,9,46,true,500,375,false,false
RandomGraph,10,0,47,false,1125,65167,true,false
RandomGraph,10,1,47,true,1250,1458,false,false
RandomGraph,10,2,47,true,667,416,false,false
RandomGraph,10,3,47,true,792,417,false,false
RandomGraph,10,4,47,true,667,500,false,false
RandomGraph,10,5,47,true,583,375,false,false
RandomGraph,10,6,47,true,583,375,false,false
RandomGraph,10,7,47,true,541,333,false,false
RandomGraph,10,8,47,true,500,333,false,false
RandomGraph,10,9,47,true,625,333,false,false
RandomGraph,10,0,48,false,1083,75000,true,false
RandomGraph,10,1,48,true,1000,6459,false,false
RandomGraph,10,2,48,true,1125,750,false,false
RandomGraph,10,3,48,true,667,583,false,false
RandomGraph,10,4,48,true,542,708,false,false
RandomGraph,10,5,48,true,584,417,false,false
RandomGraph,10,6,48,true,708,417,false,false
RandomGraph,10,7,48,true,709,375,false,false
RandomGraph,10,8,48,true,666,416,false,false
RandomGraph,10,9,48,true,542,375,false,false
RandomGraph,10,0,49,false,1042,62584,true,false
RandomGraph,10,1,49,true,958,292,false,false
RandomGraph,10,2,49,true,667,333,false,false
RandomGraph,10,3,49,true,666,1458,false,false
RandomGraph,10,4,49,true,792,542,false,false
RandomGraph,10,5,49,true,625,333,false,false
RandomGraph,10,6,49,true,500,458,false,false
RandomGraph,10,7,49,true,541,333,false,false
RandomGraph,10,8,49,true,709,417,false,false
RandomGraph,10,9,49,true,2500,1000,false,false
RandomGraph,10,0,50,false,1333,49874,true,false
RandomGraph,10,1,50,true,1042,1167,false,false
RandomGraph,10,2,50,true,1000,958,false,false
RandomGraph,10,3,50,true,1083,959,false,false
RandomGraph,10,4,50,true,1417,792,false,false
RandomGraph,10,5,50,true,1125,541,false,false
RandomGraph,10,6,50,true,917,542,false,false
RandomGraph,10,7,50,true,709,375,false,false
RandomGraph,10,8,50,true,708,375,false,false
RandomGraph,10,9,50,true,708,334,false,false
RandomGraph,10,0,51,false,2083,55833,true,false
RandomGraph,10,1,51,true,1334,875,false,false
RandomGraph,10,2,51,true,1375,834,false,false
RandomGraph,10,3,51,true,1000,667,false,false
RandomGraph,10,4,51,true,917,625,false,false
RandomGraph,10,5,51,true,3042,1125,false,false
RandomGraph,10,6,51,true,1333,1125,false,false
RandomGraph,10,7,51,true,1083,500,false,false
RandomGraph,10,8,51,true,958,417,false,false
RandomGraph,10,9,51,true,625,333,false,false
RandomGraph,10,0,52,false,41750,94583,true,false
RandomGraph,10,1,52,true,750,583,false,false
RandomGraph,10,2,52,true,708,541,false,false
RandomGraph,10,3,52,true,2292,584,false,false
RandomGraph,10,4,52,true,625,583,false,false
RandomGraph,10,5,52,true,584,542,false,false
RandomGraph,10,6,52,true,875,750,false,false
RandomGraph,10,7,52,true,709,542,false,false
RandomGraph,10,8,52,true,458,583,false,false
RandomGraph,10,9,52,true,417,500,false,false
RandomGraph,10,0,53,false,958,58292,true,false
RandomGraph,10,1,53,true,916,916,false,false
RandomGraph,10,2,53,true,792,625,false,false
RandomGraph,10,3,53,true,667,667,false,false
RandomGraph,10,4,53,true,583,625,false,false
RandomGraph,10,5,53,true,584,541,false,false
RandomGraph,10,6,53,true,583,458,false,false
RandomGraph,10,7,53,true,625,625,false,false
RandomGraph,10,8,53,true,458,416,false,false
RandomGraph,10,9,53,true,541,416,false,false
RandomGraph,10,0,54,false,875,46792,true,false
RandomGraph,10,1,54,true,708,709,false,false
RandomGraph,10,2,54,true,750,625,false,false
RandomGraph,10,3,54,true,584,584,false,false
RandomGraph,10,4,54,true,500,500,false,false
RandomGraph,10,5,54,true,584,375,false,false
RandomGraph,10,6,54,true,458,333,false,false
RandomGraph,10,7,54,true,459,291,false,false
RandomGraph,10,8,54,true,375,334,false,false
RandomGraph,10,9,54,true,458,292,false,false
RandomGraph,10,0,55,false,834,51918,true,false
RandomGraph,10,1,55,true,875,708,false,false
RandomGraph,10,2,55,true,584,667,false,false
RandomGraph,10,3,55,true,625,541,false,false
RandomGraph,10,4,55,true,583,500,false,false
RandomGraph,10,5,55,true,625,542,false,false
RandomGraph,10,6,55,true,583,500,false,false
RandomGraph,10,7,55,true,500,458,false,false
RandomGraph,10,8,55,true,625,458,false,false
RandomGraph,10,9,55,true,667,334,false,false
RandomGraph,10,0,56,false,750,47834,true,false
RandomGraph,10,1,56,true,667,500,false,false
RandomGraph,10,2,56,true,625,500,false,false
RandomGraph,10,3,56,true,541,500,false,false
RandomGraph,10,4,56,true,542,500,false,false
RandomGraph,10,5,56,true,1542,583,false,false
RandomGraph,10,6,56,true,500,333,false,false
RandomGraph,10,7,56,true,542,375,false,false
RandomGraph,10,8,56,true,375,334,false,false
RandomGraph,10,9,56,true,500,333,false,false
RandomGraph,10,0,57,false,1500,64541,true,false
RandomGraph,10,1,57,true,1125,1250,false,false
RandomGraph,10,2,57,true,917,1292,false,false
RandomGraph,10,3,57,true,833,833,false,false
RandomGraph,10,4,57,true,1250,3625,false,false
RandomGraph,10,5,57,true,833,541,false,false
RandomGraph,10,6,57,true,666,375,false,false
RandomGraph,10,7,57,true,458,333,false,false
RandomGraph,10,8,57,true,458,375,false,false
RandomGraph,10,9,57,true,417,375,false,false
RandomGraph,10,0,58,false,958,54624,true,false
RandomGraph,10,1,58,true,1042,1917,false,false
RandomGraph,10,2,58,true,625,5833,false,false
RandomGraph,10,3,58,true,1416,500,false,false
RandomGraph,10,4,58,true,917,417,false,false
RandomGraph,10,5,58,true,666,417,false,false
RandomGraph,10,6,58,true,625,416,false,false
